TYPE,PRICE,BEDS,PROPERTYSQFT,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Co-op for sale,69000,1,850,"1185 Anderson Ave #2e, Bronx, NY 10452, USA",40.8366623,-73.9239586
Condo for sale,1995000,3,1546,"272 W 107th St #8d, New York, NY 10025, USA",40.8018548,-73.9672877
Co-op for sale,230000,1,620,"255 W 108th St #1b, New York, NY 10025, USA",40.8028416,-73.9670229
Co-op for sale,220000,1,590,"82-35 134th St #2d, Jamaica, NY 11435, USA",40.7130136,-73.8230375
Co-op for sale,198000,3,2184.207862,"42-40 Bowne St #6f, Flushing, NY 11355, USA",40.756144,-73.8213672
Co-op for sale,1495000,1,2184.207862,"48 Gramercy Park N #1b, New York, NY 10010, USA",40.7382884,-73.9851838
Co-op for sale,475000,1,615,"520 E 90th St #1b, New York, NY 10128, USA",40.7779975,-73.9445342
Co-op for sale,199900,2,2184.207862,"234-4 131st Ave #2, Rosedale, NY 11422, USA",40.6779049,-73.733881
House for sale,1150000,2,1444,"91 Flagg Ct, Staten Island, NY 10304, USA",40.5882505,-74.1087291
House for sale,1575000,3,2184.207862,"530 4th St, Brooklyn, NY 11215, USA",40.6683947,-73.9762195
Co-op for sale,229000,1,2184.207862,"33-05 92nd St #1b, Jackson Heights, NY 11372, USA",40.7562792,-73.8758052
For sale,2700000,8,2184.207862,"122 Willoughby Ave, Brooklyn, NY 11205, USA",40.6914843,-73.9676428
Condo for sale,320000,2,936,"1860 Story Ave # 36-B, Bronx, NY 10473, USA",40.8236857,-73.8611313
Co-op for sale,295000,2,700,"1275 E 5th St #6a, Brooklyn, NY 11230, USA",40.6196386,-73.9707307
House for sale,550000,3,2184.207862,"4211 Snyder Ave, Brooklyn, NY 11203, USA",40.6498755,-73.9375091
Condo for sale,285000,2,1000,"1439 Metropolitan Ave #6a, Bronx, NY 10462, USA",40.8362269,-73.8612346
Co-op for sale,328000,1,800,"8330 Vietor Ave Apartment 414, Flushing, NY 11373, USA",40.743059,-73.880983
Multi-family home for sale,1388000,4,2184.207862,"25-02 169th St, Flushing, NY 11358, USA",40.774158,-73.7957477
Multi-family home for sale,3000000,10,2184.207862,"120 Pierrepont St, Brooklyn, NY 11201, USA",40.6949321,-73.9928542
Multi-family home for sale,2198888,7,2184.207862,"662 Seneca Ave, Ridgewood, NY 11385, USA",40.7032697,-73.9088462
Multi-family home for sale,650000,6,2310,"936 Taylor Ave, Bronx, NY 10473, USA",40.8244358,-73.8633737
Condo for sale,1100000,1,890,"247 W 46th St APT 1506, New York, NY 10036, USA",40.7598542,-73.9874427
Townhouse for sale,2649000,5,4050,"282 Macon St, Brooklyn, NY 11216, USA",40.6820924,-73.9393924
Co-op for sale,849000,2,800,"299 13th St #3d, Brooklyn, NY 11215, USA",40.6662599,-73.9870141
For sale,6500000,2,2184.207862,"995 5th Ave #11b, New York, NY 10028, USA",40.778004,-73.962547
Co-op for sale,560000,3,550,"165 West End Ave #16c, New York, NY 10023, USA",40.777244,-73.9868738
Condo for sale,1100000,1,890,"247 W 46th St APT 1506, New York, NY 10036, USA",40.7598542,-73.9874427
Townhouse for sale,2649000,5,4050,"282 Macon St, Brooklyn, NY 11216, USA",40.6820924,-73.9393924
Co-op for sale,849000,2,800,"299 13th St #3d, Brooklyn, NY 11215, USA",40.6662599,-73.9870141
Co-op for sale,418888,2,900,"946 59th St #4b, Brooklyn, NY 11219, USA",40.6339124,-74.0058434
Multi-family home for sale,2600000,3,3978,"99 Bay 11th St, Brooklyn, NY 11228, USA",40.6083914,-74.0100209
Multi-family home for sale,899000,8,2160,"3214 Seymour Ave, Bronx, NY 10469, USA",40.8728082,-73.8469489
Multi-family home for sale,979000,8,2860,"309 E 96th St, Brooklyn, NY 11212, USA",40.6597134,-73.9195979
Co-op for sale,199000,1,2184.207862,"6738 108th St Apt D5, Forest Hills, NY 11375, USA",40.7282899,-73.8472
For sale,815000,3,2184.207862,"310 E 46th St #6d, New York, NY 10017, USA",40.751918,-73.9698335
Condo for sale,1025000,1,800,"460 E 79th St #9f, New York, NY 10075, USA",40.7712538,-73.950858
Condo for sale,1375000,1,920,"188 E 64th St APT 802, New York, NY 10065, USA",40.7645034,-73.9648503
Condo for sale,875000,3,1437,"105 Bennett Ave #21a, New York, NY 10033, USA",40.8539526,-73.9345678
Multi-family home for sale,1350000,6,3000,"2535 E 24th St, Brooklyn, NY 11235, USA",40.5902653,-73.9455056
For sale,989000,7,2184.207862,"1408 Remsen Ave, Brooklyn, NY 11236, USA",40.6360957,-73.9018295
Multi-family home for sale,815156,4,2945,"156 Davis Ave, Staten Island, NY 10310, USA",40.6402659,-74.110402
Multi-family home for sale,1949000,3,2560,"11 Brighton 10th Path, Brooklyn, NY 11235, USA",40.5813374,-73.9589282
Multi-family home for sale,669000,5,1893,"418 Beach 37th St, Far Rockaway, NY 11691, USA",40.5967151,-73.7696424
Multi-family home for sale,900500,4,2184.207862,"10716 Avenue J, Brooklyn, NY 11236, USA",40.6468871,-73.8907758
Co-op for sale,1465000,3,2184.207862,"215 E 73rd St #4a, New York, NY 10021, USA",40.7701914,-73.9590118
For sale,899000,3,1100,"529 W 42nd St #2g, New York, NY 10036, USA",40.7604194,-73.9968086
Condo for sale,1100000,1,726,"88 Greenwich St APT 2307, New York, NY 10006, USA",40.7078844,-74.0140879
Multi-family home for sale,1199000,6,2184.207862,"151-42 82nd St, Jamaica, NY 11414, USA",40.6662035,-73.8525027
For sale,325000,2,2184.207862,"12 W 107th St #2b, New York, NY 10025, USA",40.7989043,-73.9604812
Multi-family home for sale,599000,4,1176,"3100 Richmond Terrace, Staten Island, NY 10303, USA",40.638069,-74.1627747
Multi-family home for sale,1230000,4,2184.207862,"74-06 64th Ln, Flushing, NY 11385, USA",40.700194,-73.8907488
Co-op for sale,3950000,3,2184.207862,"2 Sutton Pl s, New York, NY 10022, USA",40.7573949,-73.9606545
House for sale,2147483647,7,10000,"6659 Amboy Rd, Staten Island, NY 10309, USA",40.5184841,-74.2244185
Multi-family home for sale,1350000,10,3383,"188 Richmond St, Brooklyn, NY 11208, USA",40.6828535,-73.8769965
House for sale,799000,5,1800,"1124 E 51st St, Brooklyn, NY 11234, USA",40.6336127,-73.9276041
House for sale,1599000,5,5600,"1233 Todt Hill Rd, Staten Island, NY 10304, USA",40.5813757,-74.1131912
House for sale,1299900,4,2755,"346 George St, Staten Island, NY 10307, USA",40.5065922,-74.2393503
Co-op for sale,370000,1,2184.207862,"100 Remsen St #3f, Brooklyn, NY 11201, USA",40.6939582,-73.9943695
For sale,3225,3,2184.207862,"635 W 170th St #2c, New York, NY 10032, USA",40.8434062,-73.9407947
Co-op for sale,3649000,3,2184.207862,"11 W 30th St #11f, New York, NY 10001, USA",40.7464683,-73.9872992
Multi-family home for sale,860000,5,2324,"3743 Neptune Ave, Brooklyn, NY 11224, USA",40.5768936,-74.0048793
House for sale,765000,3,2205,"80 Longview Rd, Staten Island, NY 10304, USA",40.611142,-74.0905357
Co-op for sale,259000,1,750,"3500 Snyder Ave #5n, Brooklyn, NY 11203, USA",40.6491203,-73.9440658
Multi-family home for sale,1500000,8,3135,"1601 Nostrand Ave., Brooklyn, NY 11226, USA",40.6471477,-73.9489423
Condo for sale,850000,2,1005,"340 Cabrini Blvd APT 501, New York, NY 10040, USA",40.856444,-73.9377616
For sale,2494,2,2184.207862,"635 W 170th St #4f, New York, NY 10032, USA",40.8434062,-73.9407947
Condo for sale,99000,1,2184.207862,"1368 E 92nd St #300, Brooklyn, NY 11236, USA",40.6372545,-73.9002674
Co-op for sale,535000,1,750,"192 E 8th St #1c, Brooklyn, NY 11218, USA",40.6453011,-73.9723049
Multi-family home for sale,849998,4,2342,"358 Lamoka Ave, Staten Island, NY 10312, USA",40.5487767,-74.1629254
For sale,1100000,2,2184.207862,"2235 Frederick Douglass Blvd #7k, New York, NY 10027, USA",40.807426,-73.9535703
Multi-family home for sale,998000,5,1574,"60-17 59th Ave, Flushing, NY 11378, USA",40.7190856,-73.9060914
Multi-family home for sale,1500000,3,2184.207862,"3115 Glenwood Rd, Brooklyn, NY 11210, USA",40.634316,-73.9462919
Multi-family home for sale,875000,6,2860,"1779 Edenwald Ave, Bronx, NY 10466, USA",40.8920958,-73.8487361
Condo for sale,2350000,1,1144,"456 W 19th St, New York, NY 10011, USA",40.7449256,-74.0057175
Multi-family home for sale,850000,5,1908,"4346 Edson Ave, Bronx, NY 10466, USA",40.8979269,-73.8463057
For sale,4000000,3,2248,"445 Lafayette St #14a, New York, NY 10003, USA",40.7295412,-73.9913066
Co-op for sale,1200000,3,2184.207862,"955 Lexington Ave #5c, New York, NY 10021, USA",40.7687538,-73.9631311
Condo for sale,12000000,4,3809,"67 Franklin St, New York, NY 10013, USA",40.7174584,-74.0038831
Co-op for sale,1300000,2,2184.207862,"269 W 87th St #6c, New York, NY 10024, USA",40.7895034,-73.9769713
For sale,799000,3,585,"240 Riverside Blvd #3b, New York, NY 10023, USA",40.7804721,-73.9871434
Co-op for sale,339000,3,250,"314 E 41st St Apt 303b, New York, NY 10017, USA",40.7488879,-73.9723947
Multi-family home for sale,875000,7,2680,"1126 Ward Ave, Bronx, NY 10472, USA",40.8270095,-73.8766285
Multi-family home for sale,799000,7,2296,"1341 Fteley Ave, Bronx, NY 10472, USA",40.8333931,-73.8727914
Multi-family home for sale,799000,7,2296,"1341 Fteley Ave, Bronx, NY 10472, USA",40.8333931,-73.8727914
House for sale,285000,2,1380,"102-15 215th St, Jamaica, NY 11429, USA",40.7128326,-73.7435779
Multi-family home for sale,2499000,5,1340,"181 Park Ave, Brooklyn, NY 11205, USA",40.6962962,-73.9720502
Townhouse for sale,795000,4,1440,"42 Adrian Ave, Bronx, NY 10463, USA",40.8767388,-73.911189
Co-op for sale,1799995,2,2184.207862,"207 E 74th St #8b, New York, NY 10021, USA",40.7708932,-73.9586258
House for sale,250000,3,1224,"164-31 99th St, Howard Beach, NY 11414, USA",40.6505528,-73.8316736
For sale,5999000,3,3000,"220 Riverside Blvd #24b, New York, NY 10069, USA",40.7798567,-73.9873973
Pending,668000,3,1606,"88-08 Gettysburg St, Jamaica, NY 11426, USA",40.7299787,-73.7310756
House for sale,699900,3,1470,"102 Lamberts Ln, Staten Island, NY 10314, USA",40.6153952,-74.1610855
Townhouse for sale,5295000,4,4600,"75 2nd Pl, Brooklyn, NY 11231, USA",40.6800067,-73.9982111
Condo for sale,2265000,2,1123,"252 South St #26, New York, NY 10002, USA",40.710456,-73.991235
Co-op for sale,459000,2,950,"14205 Roosevelt Ave Apt 435, Flushing, NY 11354, USA",40.7607942,-73.8258766
Multi-family home for sale,1369000,4,2900,"7 Stalie Ct, Staten Island, NY 10309, USA",40.5239722,-74.2213406
House for sale,879000,4,2184.207862,"87-45 253rd St, Jamaica, NY 11426, USA",40.7294367,-73.7125595
Condo for sale,559000,1,679,"Mirada, 161 E 110th St #6g, New York, NY 10029, USA",40.7945743,-73.9434214
Multi-family home for sale,869888,4,2184.207862,"86-27 125th St, Richmond Hill, NY 11418, USA",40.7019014,-73.8256776
House for sale,799888,3,2184.207862,"62-24 65th St, Flushing, NY 11379, USA",40.7138975,-73.8970229
House for sale,749000,4,1040,"29 Canterbury Ave, Staten Island, NY 10314, USA",40.6165347,-74.1507186
House for sale,499000,2,2184.207862,"119-44 193rd St, Jamaica, NY 11412, USA",40.6886004,-73.7568067
House for sale,1295000,3,2193,"269 W 87th St #7b, New York, NY 10024, USA",40.7895034,-73.9769713
Pending,879900,3,2242,"640 Sheldon Ave, Staten Island, NY 10312, USA",40.5409077,-74.1964937
Co-op for sale,400000,2,1150,"8 Magnolia Pl, Bronx, NY 10465, USA",40.8131429,-73.808397
Multi-family home for sale,699999,6,2184.207862,"1839 Andrews Ave S, Bronx, NY 10453, USA",40.8524948,-73.9151397
Condo for sale,289000,1,666,"1065 Vermont St #4g, Brooklyn, NY 11207, USA",40.6541622,-73.8846778
Condo for sale,699000,1,616,"435 Tompkins Ave #305, Brooklyn, NY 11216, USA",40.6826476,-73.9434923
Land for sale,5800,3,2184.207862,"4515 Avenue N #5, Brooklyn, NY 11234, USA",40.618915,-73.931211
Foreclosure,479000,6,3100,"16 Renfrew Pl, Staten Island, NY 10303, USA",40.6268305,-74.1471405
Condo for sale,1355000,2,1002,"435 Tompkins Ave #703, Brooklyn, NY 11216, USA",40.6826476,-73.9434923
Condo for sale,1225000,2,882,"435 Tompkins Ave #602, Brooklyn, NY 11216, USA",40.6826476,-73.9434923
Foreclosure,9999000,4,4531,"960 Park Ave #3w, New York, NY 10028, USA",40.7779497,-73.959448
Co-op for sale,105000,3,656,"2191 Bolton St #5e, Bronx, NY 10462, USA",40.8560699,-73.8688751
House for sale,300000,3,952,"5423 Avenue R, Brooklyn, NY 11234, USA",40.6162917,-73.929914
Multi-family home for sale,799000,5,2400,"232 Throgs Neck Blvd, Bronx, NY 10465, USA",40.8181836,-73.812739
Co-op for sale,202000,2,1453,"18-70 211th St #2a, Bayside, NY 11360, USA",40.7802813,-73.7818912
Contingent,720000,3,1430,"190 Chestnut Ave, Staten Island, NY 10305, USA",40.6149561,-74.0745548
House for sale,600000,5,2184.207862,"392 E 7th St, Brooklyn, NY 11218, USA",40.6422956,-73.972787
Co-op for sale,599000,3,1200,"7901 4th Ave Apt D7, Brooklyn, NY 11209, USA",40.6279352,-74.0260154
Condo for sale,235000,2,860,"162 Arlo Rd # A, Staten Island, NY 10301, USA",40.6192765,-74.09515
Co-op for sale,319000,3,960,"58- 42 251st St, Queens, NY 11362, USA",40.7598591,-73.7290086
Multi-family home for sale,950000,12,2184.207862,"18-29 George St, Flushing, NY 11385, USA",40.7000145,-73.9010076
Multi-family home for sale,1088888,4,2184.207862,"15-03 201st St, Bayside, NY 11360, USA",40.7860789,-73.7928524
House for sale,1250000,4,3300,"24 Gianna Ct, Staten Island, NY 10306, USA",40.5675492,-74.140764
Land for sale,650000,3,2184.207862,"2998 Fulton St, Brooklyn, NY 11208, USA",40.6799197,-73.8839962
House for sale,774888,3,960,"417 Genesee Ave, Staten Island, NY 10312, USA",40.5525576,-74.1709014
Co-op for sale,105509,1,650,"60 Knolls Crescent #8f, Bronx, NY 10463, USA",40.879078,-73.9175196
Multi-family home for sale,995000,5,2184.207862,"544 Madison St, Brooklyn, NY 11221, USA",40.6862289,-73.9364224
Multi-family home for sale,995000,5,2184.207862,"544 Madison St, Brooklyn, NY 11221, USA",40.6862289,-73.9364224
House for sale,769000,4,1728,"4322 E Tremont Ave, Bronx, NY 10465, USA",40.8152029,-73.8154969
Co-op for sale,395995,2,1100,"5601 Riverdale Ave #2b, Bronx, NY 10471, USA",40.9048823,-73.9051113
For sale,975000,1,900,"231-235 E 55th St # 45a, New York, NY 10022, USA",40.7585686,-73.9669708
House for sale,499999,2,1744,"616 City Island Ave, Bronx, NY 10464, USA",40.8549429,-73.7908303
Co-op for sale,1649000,2,2184.207862,"165 West End Ave #7n, New York, NY 10023, USA",40.777244,-73.9868738
Co-op for sale,365000,2,2184.207862,"83-40 Austin St #3e, Jamaica, NY 11415, USA",40.7083799,-73.8290102
Pending,748999,3,1620,"122 North Dr, Staten Island, NY 10305, USA",40.606691,-74.0724094
House for sale,635000,3,2184.207862,"118-14 201 Pl, St. Albans, NY 11412, USA",40.6933533,-73.7503369
Co-op for sale,149000,3,400,"87 St Marks Pl #4c, New York, NY 10009, USA",40.7276196,-73.9848906
House for sale,1099000,5,1760,"84-11 165th Ave, Jamaica, NY 11414, USA",40.6481943,-73.8452374
Land for sale,3950000,3,2184.207862,"750 Barclay Ave, Staten Island, NY 10312, USA",40.525422,-74.166603
Multi-family home for sale,1529999,6,2400,"116-25 134th St, Jamaica, NY 11420, USA",40.6780476,-73.8056181
House for sale,675000,3,1404,"44 Hunter Pl, Staten Island, NY 10301, USA",40.6333513,-74.1021333
House for sale,2650000,6,2184.207862,"87-07 158th Ave, Jamaica, NY 11414, USA",40.660323,-73.8455929
House for sale,420000,3,2184.207862,"90-07 107th Ave, Queens, NY 11417, USA",40.6784764,-73.8476859
Land for sale,2999950,3,2184.207862,"9115 Bedell Ln, Brooklyn, NY 11236, USA",40.6444117,-73.9100389
Townhouse for sale,559900,3,980,"18 Navigator Ct, Staten Island, NY 10309, USA",40.5132339,-74.1959753
House for sale,549000,3,2184.207862,"122-4 115th Ave, South Ozone Park, NY 11420, USA",40.6776809,-73.8166457
Land for sale,999000,3,950,"136-17 Carlton Pl, Flushing, NY 11354, USA",40.7644631,-73.8297531
Land for sale,289000,3,2184.207862,"633 Mead St, Bronx, NY 10460, USA",40.842629,-73.8665973
Land for sale,790000,3,2184.207862,"1815 College Point Blvd, College Point, NY 11356, USA",40.7827104,-73.8457691
House for sale,2295000,7,3632,"235 W 138th St, New York, NY 10030, USA",40.8180374,-73.9436858
House for sale,1150000,3,3000,"335 Preston Ave, Staten Island, NY 10312, USA",40.5343966,-74.1582874
Townhouse for sale,13995000,7,9026,"18 Prospect Park W, Brooklyn, NY 11215, USA",40.6712528,-73.9716506
Land for sale,6100000,3,2184.207862,"1518 Pitkin Ave, Brooklyn, NY 11212, USA",40.6685186,-73.9175924
Land for sale,350000,3,2184.207862,"2532 Atlantic Ave, Brooklyn, NY 11207, USA",40.6753179,-73.9008593
Land for sale,450000,3,2184.207862,"9 Alderbrook Rd, Bronx, NY 10471, USA",40.89582,-73.9110766
Land for sale,2999999,3,2184.207862,"153-10 89th Ave, Jamaica, NY 11432, USA",40.7051444,-73.8030054
Land for sale,2500000,3,2184.207862,"238 Ocean View Ave, Brooklyn, NY 11235, USA",40.578639,-73.965449
Land for sale,350000,3,2184.207862,"8 Lake Ave, Brooklyn, NY 11235, USA",40.5844107,-73.9380366
Land for sale,150000,3,2184.207862,"40 Cedarcliff Rd, Staten Island, NY 10301, USA",40.6171535,-74.0890497
Land for sale,3600000,3,2184.207862,"1348 E 7th St, Brooklyn, NY 11230, USA",40.6179636,-73.9681702
Land for sale,150000,3,2184.207862,"48 Cedarcliff Rd, Staten Island, NY 10301, USA",40.6170275,-74.0893192
Co-op for sale,235000,3,1400,"14350 Hoover Ave Apt 307, Jamaica, NY 11435, USA",40.7142299,-73.8152
Land for sale,199000,3,2184.207862,"164th Dr, Queens, NY 11414, USA",40.6511537,-73.8284146
Land for sale,2000000,3,2184.207862,"2090 Arthur Ave, Bronx, NY 10457, USA",40.8492324,-73.8914043
Land for sale,2200000,3,2184.207862,"75-43 113th St, Flushing, NY 11375, USA",40.7185125,-73.834819
Land for sale,650000,3,2184.207862,"31-42 41st St, Long Island City, NY 11103, USA",40.759972,-73.9173868
Land for sale,149000,3,2184.207862,"644 Jefferson Ave, Staten Island, NY 10306, USA",40.5742632,-74.086609
House for sale,215000,4,2000,"408 Van Siclen Ave, Brooklyn, NY 11207, USA",40.6694978,-73.8897534
Land for sale,799999,3,2184.207862,"1905 Fulton St, Brooklyn, NY 11233, USA",40.6789582,-73.9203193
House for sale,299000,5,2184.207862,"219 Beach 44th St, Far Rockaway, NY 11691, USA",40.593404,-73.775651
Land for sale,265000,3,2184.207862,"1698 E New York Ave, Brooklyn, NY 11212, USA",40.6743408,-73.9056237
Land for sale,795000,3,2184.207862,"1761 Topping Ave, Bronx, NY 10457, USA",40.8457524,-73.9059682
Land for sale,1245000,3,2184.207862,"5437 Fieldston Rd, Bronx, NY 10471, USA",40.902657,-73.901871
Land for sale,549000,3,2184.207862,"1385 Dekalb Ave, Brooklyn, NY 11221, USA",40.699454,-73.924234
Condo for sale,7495000,4,2888,"378 West End Ave #4a, New York, NY 10024, USA",40.7833319,-73.9815796
Townhouse for sale,2850000,4,4080,"30-53 35th St, Long Island City, NY 11103, USA",40.7639241,-73.9190583
Co-op for sale,215000,2,747,"127 D Edgewater Park, Bronx, NY 10465, USA",40.8233271,-73.8110122
Land for sale,299000,3,2184.207862,"621 E 87th St, Brooklyn, NY 11236, USA",40.6415965,-73.9105958
House for sale,275000,2,1104,"3009 Coddington Ave, Bronx, NY 10461, USA",40.8409818,-73.8292936
Multi-family home for sale,898000,6,2100,"15 Spratt Ave, Staten Island, NY 10306, USA",40.5586967,-74.1351001
Co-op for sale,275000,2,900,"1910 Pelham Pkwy S #2a, Bronx, NY 10461, USA",40.8554764,-73.8287193
House for sale,599000,4,1682,"114-36 Sutter Ave, Jamaica, NY 11420, USA",40.6747343,-73.8239749
Condo for sale,189000,1,730,"20 Cliff St #5b, Staten Island, NY 10305, USA",40.6109595,-74.060351
Multi-family home for sale,678990,3,1575,"155 Wellbrook Ave, Staten Island, NY 10314, USA",40.6012318,-74.1300175
House for sale,800000,3,1824,"2660 Mill Ave, Brooklyn, NY 11234, USA",40.608799,-73.9128174
Condo for sale,549000,3,1092,"4 Jamie Ct, Staten Island, NY 10314, USA",40.6221107,-74.1499982
House for sale,849000,3,2000,"329 Wainwright Ave, Staten Island, NY 10312, USA",40.5528489,-74.1699382
Pending,675000,3,2184.207862,"558 E 34th St, Brooklyn, NY 11203, USA",40.6428139,-73.9451438
House for sale,130000,3,664,"263 South Ave, Staten Island, NY 10303, USA",40.6330671,-74.1659477
House for sale,759999,4,2184.207862,"91-18 173rd St, Jamaica, NY 11432, USA",40.7083753,-73.787158
Contingent,489000,2,978,"615 Correll Ave, Staten Island, NY 10309, USA",40.546573,-74.213449
